=== ACC HANDOFF LOG: campaign_20260301_0111 | Model: microsoft/Phi-4-multimodal-instruct ===
[HANDOFF] 1003 | Token Index: 112 | Drift: 0.2277 | Teacher: Llama-3.2-11B
[HANDOFF] 1003 | Token Index: 113 | Drift: 0.2198 | Teacher: Llama-3.2-11B
[HANDOFF] 1003 | Token Index: 114 | Drift: 0.2392 | Teacher: Llama-3.2-11B
[HANDOFF] 1003 | Token Index: 115 | Drift: 0.2310 | Teacher: Llama-3.2-11B
[HANDOFF] 1003 | Token Index: 117 | Drift: 0.2460 | Teacher: Llama-3.2-11B
[HANDOFF] 1003 | Token Index: 118 | Drift: 0.2536 | Teacher: Llama-3.2-11B
[HANDOFF] 1003 | Token Index: 119 | Drift: 0.2457 | Teacher: Llama-3.2-11B
[HANDOFF] 1003 | Token Index: 120 | Drift: 0.2194 | Teacher: Llama-3.2-11B
[HANDOFF] 1003 | Token Index: 122 | Drift: 0.2032 | Teacher: Llama-3.2-11B
[HANDOFF] 1003 | Token Index: 123 | Drift: 0.2064 | Teacher: Llama-3.2-11B
[HANDOFF] 1003 | Token Index: 124 | Drift: 0.2079 | Teacher: Llama-3.2-11B
[HANDOFF] 1003 | Token Index: 125 | Drift: 0.2234 | Teacher: Llama-3.2-11B
[HANDOFF] 1003 | Token Index: 126 | Drift: 0.2270 | Teacher: Llama-3.2-11B
[HANDOFF] 1003 | Token Index: 128 | Drift: 0.2128 | Teacher: Llama-3.2-11B
[HANDOFF] 1003 | Token Index: 129 | Drift: 0.2245 | Teacher: Llama-3.2-11B
[HANDOFF] 1003 | Token Index: 130 | Drift: 0.2176 | Teacher: Llama-3.2-11B
[HANDOFF] 1003 | Token Index: 131 | Drift: 0.2291 | Teacher: Llama-3.2-11B
[HANDOFF] 1003 | Token Index: 132 | Drift: 0.2277 | Teacher: Llama-3.2-11B
[HANDOFF] 1003 | Token Index: 133 | Drift: 0.2198 | Teacher: Llama-3.2-11B
[HANDOFF] 1003 | Token Index: 134 | Drift: 0.2243 | Teacher: Llama-3.2-11B
[HANDOFF] 1003 | Token Index: 136 | Drift: 0.2133 | Teacher: Llama-3.2-11B
[HANDOFF] 1003 | Token Index: 137 | Drift: 0.2183 | Teacher: Llama-3.2-11B
[HANDOFF] 1003 | Token Index: 138 | Drift: 0.2287 | Teacher: Llama-3.2-11B
[HANDOFF] 1003 | Token Index: 139 | Drift: 0.2041 | Teacher: Llama-3.2-11B
[HANDOFF] 1003 | Token Index: 141 | Drift: 0.2038 | Teacher: Llama-3.2-11B
[HANDOFF] 1003 | Token Index: 142 | Drift: 0.2228 | Teacher: Llama-3.2-11B
[HANDOFF] 1003 | Token Index: 144 | Drift: 0.2206 | Teacher: Llama-3.2-11B
[HANDOFF] 1003 | Token Index: 145 | Drift: 0.2043 | Teacher: Llama-3.2-11B
[HANDOFF] 1003 | Token Index: 148 | Drift: 0.2016 | Teacher: Llama-3.2-11B
[HANDOFF] 1003 | Token Index: 151 | Drift: 0.2180 | Teacher: Llama-3.2-11B
[HANDOFF] 1003 | Token Index: 153 | Drift: 0.2083 | Teacher: Llama-3.2-11B
[HANDOFF] 1003 | Token Index: 155 | Drift: 0.2105 | Teacher: Llama-3.2-11B
[HANDOFF] 1003 | Token Index: 156 | Drift: 0.2000 | Teacher: Llama-3.2-11B
[HANDOFF] 1003 | Token Index: 157 | Drift: 0.2108 | Teacher: Llama-3.2-11B
[HANDOFF] 1003 | Token Index: 158 | Drift: 0.2008 | Teacher: Llama-3.2-11B
[HANDOFF] 1003 | Token Index: 159 | Drift: 0.2217 | Teacher: Llama-3.2-11B
[HANDOFF] 1003 | Token Index: 160 | Drift: 0.2138 | Teacher: Llama-3.2-11B
[HANDOFF] 1003 | Token Index: 161 | Drift: 0.2074 | Teacher: Llama-3.2-11B
[HANDOFF] 1003 | Token Index: 164 | Drift: 0.2034 | Teacher: Llama-3.2-11B
[HANDOFF] 1003 | Token Index: 165 | Drift: 0.2196 | Teacher: Llama-3.2-11B
[HANDOFF] 1003 | Token Index: 167 | Drift: 0.2068 | Teacher: Llama-3.2-11B
[HANDOFF] 1003 | Token Index: 168 | Drift: 0.2258 | Teacher: Llama-3.2-11B
[HANDOFF] 1003 | Token Index: 169 | Drift: 0.2318 | Teacher: Llama-3.2-11B
[HANDOFF] 1003 | Token Index: 170 | Drift: 0.2258 | Teacher: Llama-3.2-11B
[HANDOFF] 1003 | Token Index: 171 | Drift: 0.2095 | Teacher: Llama-3.2-11B
[HANDOFF] 1003 | Token Index: 172 | Drift: 0.2211 | Teacher: Llama-3.2-11B
[HANDOFF] 1003 | Token Index: 173 | Drift: 0.2160 | Teacher: Llama-3.2-11B
[HANDOFF] 1003 | Token Index: 174 | Drift: 0.2267 | Teacher: Llama-3.2-11B
[HANDOFF] 1003 | Token Index: 175 | Drift: 0.2405 | Teacher: Llama-3.2-11B
[HANDOFF] 1003 | Token Index: 176 | Drift: 0.2128 | Teacher: Llama-3.2-11B
[HANDOFF] 1003 | Token Index: 177 | Drift: 0.2031 | Teacher: Llama-3.2-11B
[HANDOFF] 1003 | Token Index: 181 | Drift: 0.2032 | Teacher: Llama-3.2-11B
[HANDOFF] 1003 | Token Index: 182 | Drift: 0.2116 | Teacher: Llama-3.2-11B
[HANDOFF] 1003 | Token Index: 183 | Drift: 0.2057 | Teacher: Llama-3.2-11B
[HANDOFF] 1003 | Token Index: 184 | Drift: 0.2322 | Teacher: Llama-3.2-11B
[HANDOFF] 1003 | Token Index: 185 | Drift: 0.2051 | Teacher: Llama-3.2-11B
[HANDOFF] 1003 | Token Index: 186 | Drift: 0.2304 | Teacher: Llama-3.2-11B
[HANDOFF] 1003 | Token Index: 187 | Drift: 0.2100 | Teacher: Llama-3.2-11B
[HANDOFF] 1003 | Token Index: 188 | Drift: 0.2054 | Teacher: Llama-3.2-11B
[HANDOFF] 1003 | Token Index: 189 | Drift: 0.2307 | Teacher: Llama-3.2-11B
[HANDOFF] 1003 | Token Index: 190 | Drift: 0.2389 | Teacher: Llama-3.2-11B
[HANDOFF] 1003 | Token Index: 194 | Drift: 0.2113 | Teacher: Llama-3.2-11B
[HANDOFF] 1003 | Token Index: 196 | Drift: 0.2165 | Teacher: Llama-3.2-11B
[HANDOFF] 1003 | Token Index: 197 | Drift: 0.2096 | Teacher: Llama-3.2-11B
[HANDOFF] 1003 | Token Index: 198 | Drift: 0.2046 | Teacher: Llama-3.2-11B
[HANDOFF] 1003 | Token Index: 200 | Drift: 0.2316 | Teacher: Llama-3.2-11B
[HANDOFF] 1003 | Token Index: 201 | Drift: 0.2036 | Teacher: Llama-3.2-11B
[HANDOFF] 1003 | Token Index: 202 | Drift: 0.2134 | Teacher: Llama-3.2-11B
[HANDOFF] 1003 | Token Index: 205 | Drift: 0.2045 | Teacher: Llama-3.2-11B
[HANDOFF] 1003 | Token Index: 207 | Drift: 0.2101 | Teacher: Llama-3.2-11B
[HANDOFF] 1003 | Token Index: 211 | Drift: 0.2285 | Teacher: Llama-3.2-11B
[HANDOFF] 1003 | Token Index: 212 | Drift: 0.2047 | Teacher: Llama-3.2-11B
[HANDOFF] 1003 | Token Index: 213 | Drift: 0.2065 | Teacher: Llama-3.2-11B
[HANDOFF] 1003 | Token Index: 215 | Drift: 0.2136 | Teacher: Llama-3.2-11B
[HANDOFF] 1003 | Token Index: 216 | Drift: 0.2199 | Teacher: Llama-3.2-11B
[HANDOFF] 1003 | Token Index: 217 | Drift: 0.2128 | Teacher: Llama-3.2-11B
[HANDOFF] 1003 | Token Index: 218 | Drift: 0.2149 | Teacher: Llama-3.2-11B
[HANDOFF] 1003 | Token Index: 219 | Drift: 0.2229 | Teacher: Llama-3.2-11B
[HANDOFF] 1003 | Token Index: 220 | Drift: 0.2234 | Teacher: Llama-3.2-11B
[HANDOFF] 1003 | Token Index: 221 | Drift: 0.2231 | Teacher: Llama-3.2-11B
[HANDOFF] 1003 | Token Index: 222 | Drift: 0.2257 | Teacher: Llama-3.2-11B
[HANDOFF] 1003 | Token Index: 223 | Drift: 0.2167 | Teacher: Llama-3.2-11B
[HANDOFF] 1003 | Token Index: 224 | Drift: 0.2202 | Teacher: Llama-3.2-11B
[HANDOFF] 1003 | Token Index: 225 | Drift: 0.2099 | Teacher: Llama-3.2-11B
[HANDOFF] 1003 | Token Index: 227 | Drift: 0.2128 | Teacher: Llama-3.2-11B
[HANDOFF] 1003 | Token Index: 230 | Drift: 0.2021 | Teacher: Llama-3.2-11B
[HANDOFF] 1003 | Token Index: 231 | Drift: 0.2276 | Teacher: Llama-3.2-11B
[HANDOFF] 1003 | Token Index: 232 | Drift: 0.2165 | Teacher: Llama-3.2-11B
[HANDOFF] 1003 | Token Index: 233 | Drift: 0.2161 | Teacher: Llama-3.2-11B
[HANDOFF] 1003 | Token Index: 234 | Drift: 0.2059 | Teacher: Llama-3.2-11B
[HANDOFF] 1003 | Token Index: 235 | Drift: 0.2408 | Teacher: Llama-3.2-11B
[HANDOFF] 1003 | Token Index: 236 | Drift: 0.2123 | Teacher: Llama-3.2-11B
[HANDOFF] 1003 | Token Index: 237 | Drift: 0.2120 | Teacher: Llama-3.2-11B
[HANDOFF] 1003 | Token Index: 238 | Drift: 0.2090 | Teacher: Llama-3.2-11B
[HANDOFF] 1003 | Token Index: 240 | Drift: 0.2194 | Teacher: Llama-3.2-11B
[HANDOFF] 1003 | Token Index: 241 | Drift: 0.2033 | Teacher: Llama-3.2-11B
[HANDOFF] 1003 | Token Index: 242 | Drift: 0.2311 | Teacher: Llama-3.2-11B
[HANDOFF] 1003 | Token Index: 243 | Drift: 0.2079 | Teacher: Llama-3.2-11B
[HANDOFF] 1003 | Token Index: 244 | Drift: 0.2133 | Teacher: Llama-3.2-11B
[HANDOFF] 1003 | Token Index: 245 | Drift: 0.2314 | Teacher: Llama-3.2-11B
[HANDOFF] 1003 | Token Index: 246 | Drift: 0.2156 | Teacher: Llama-3.2-11B
[HANDOFF] 1003 | Token Index: 247 | Drift: 0.2162 | Teacher: Llama-3.2-11B
[HANDOFF] 1003 | Token Index: 248 | Drift: 0.2280 | Teacher: Llama-3.2-11B
