nohup: ignoring input
22:14:09 Teacher: 40G downloaded, 5/5 shards
22:14:39 Teacher: 40G downloaded, 5/5 shards
22:15:09 Teacher: 40G downloaded, 5/5 shards
22:15:39 Teacher: 40G downloaded, 5/5 shards
22:16:09 Teacher: 40G downloaded, 5/5 shards
22:16:39 Teacher: 40G downloaded, 5/5 shards
22:17:09 Teacher: 40G downloaded, 5/5 shards
22:17:39 Teacher: 40G downloaded, 5/5 shards
22:18:09 Teacher: 40G downloaded, 5/5 shards
22:18:39 Teacher: 40G downloaded, 5/5 shards
22:19:09 Teacher: 40G downloaded, 5/5 shards
22:19:39 Teacher: 40G downloaded, 5/5 shards
22:20:09 Teacher: 40G downloaded, 5/5 shards
22:20:39 Teacher: 40G downloaded, 5/5 shards
22:21:09 Teacher: 40G downloaded, 5/5 shards
22:21:39 Teacher: 40G downloaded, 5/5 shards
22:22:11 Teacher: 40G downloaded, 5/5 shards
22:22:46 Teacher: 40G downloaded, 5/5 shards
22:23:17 Teacher: 40G downloaded, 5/5 shards
22:23:47 Teacher: 40G downloaded, 5/5 shards
22:24:17 Teacher: 40G downloaded, 5/5 shards
22:24:47 Teacher: 40G downloaded, 5/5 shards
22:25:17 Teacher: 40G downloaded, 5/5 shards
22:25:47 Teacher: 40G downloaded, 5/5 shards
22:26:17 Teacher: 40G downloaded, 5/5 shards
22:26:47 Teacher: 40G downloaded, 5/5 shards
22:27:17 Teacher: 40G downloaded, 5/5 shards
22:27:47 Teacher: 40G downloaded, 5/5 shards
22:28:17 Teacher: 40G downloaded, 5/5 shards
22:28:47 Teacher: 40G downloaded, 5/5 shards
22:29:17 Teacher: 40G downloaded, 5/5 shards
22:29:47 Teacher: 40G downloaded, 5/5 shards
22:30:17 Teacher: 40G downloaded, 5/5 shards
22:30:47 Teacher: 40G downloaded, 5/5 shards
22:31:17 Teacher: 40G downloaded, 5/5 shards
22:31:47 Teacher: 40G downloaded, 5/5 shards
