=== ACC HANDOFF LOG: campaign_20260302_2018 | Model: microsoft/Phi-4-multimodal-instruct ===
[HANDOFF] alf_v_28 | Token Index: 12 | Drift: 0.1040 | Teacher: Llama-3.2-11B
[HANDOFF] alf_v_28 | Token Index: 13 | Drift: 0.1067 | Teacher: Llama-3.2-11B
[HANDOFF] 456 | Token Index: 1 | Drift: 0.0794 | Teacher: Llama-3.2-11B
[HANDOFF] 456 | Token Index: 2 | Drift: 0.0897 | Teacher: Llama-3.2-11B
[HANDOFF] alf_v_137 | Token Index: 0 | Drift: 0.0767 | Teacher: Llama-3.2-11B
[HANDOFF] alf_v_137 | Token Index: 5 | Drift: 0.0862 | Teacher: Llama-3.2-11B
[HANDOFF] alf_v_137 | Token Index: 8 | Drift: 0.1050 | Teacher: Llama-3.2-11B
[HANDOFF] alf_v_137 | Token Index: 10 | Drift: 0.0839 | Teacher: Llama-3.2-11B
[HANDOFF] alf_v_137 | Token Index: 11 | Drift: 0.0846 | Teacher: Llama-3.2-11B
[HANDOFF] alf_v_137 | Token Index: 14 | Drift: 0.1053 | Teacher: Llama-3.2-11B
[HANDOFF] alf_v_137 | Token Index: 16 | Drift: 0.0776 | Teacher: Llama-3.2-11B
[HANDOFF] alf_v_137 | Token Index: 17 | Drift: 0.1037 | Teacher: Llama-3.2-11B
[HANDOFF] alf_v_137 | Token Index: 18 | Drift: 0.1054 | Teacher: Llama-3.2-11B
[HANDOFF] 2633 | Token Index: 1 | Drift: 0.0888 | Teacher: Llama-3.2-11B
[HANDOFF] 2633 | Token Index: 2 | Drift: 0.0918 | Teacher: Llama-3.2-11B
[HANDOFF] alf_v_129 | Token Index: 0 | Drift: 0.0779 | Teacher: Llama-3.2-11B
[HANDOFF] alf_v_129 | Token Index: 4 | Drift: 0.0775 | Teacher: Llama-3.2-11B
[HANDOFF] alf_v_129 | Token Index: 5 | Drift: 0.0882 | Teacher: Llama-3.2-11B
[HANDOFF] alf_v_129 | Token Index: 8 | Drift: 0.1066 | Teacher: Llama-3.2-11B
[HANDOFF] alf_v_129 | Token Index: 13 | Drift: 0.1117 | Teacher: Llama-3.2-11B
[HANDOFF] alf_v_129 | Token Index: 15 | Drift: 0.0830 | Teacher: Llama-3.2-11B
[HANDOFF] alf_v_129 | Token Index: 16 | Drift: 0.1080 | Teacher: Llama-3.2-11B
[HANDOFF] alf_v_129 | Token Index: 17 | Drift: 0.1073 | Teacher: Llama-3.2-11B
[HANDOFF] alf_v_69 | Token Index: 0 | Drift: 0.0784 | Teacher: Llama-3.2-11B
[HANDOFF] alf_v_69 | Token Index: 3 | Drift: 0.0758 | Teacher: Llama-3.2-11B
[HANDOFF] alf_v_69 | Token Index: 4 | Drift: 0.0797 | Teacher: Llama-3.2-11B
[HANDOFF] alf_v_69 | Token Index: 5 | Drift: 0.0907 | Teacher: Llama-3.2-11B
[HANDOFF] alf_v_69 | Token Index: 7 | Drift: 0.0774 | Teacher: Llama-3.2-11B
[HANDOFF] alf_v_69 | Token Index: 8 | Drift: 0.1087 | Teacher: Llama-3.2-11B
[HANDOFF] alf_v_69 | Token Index: 10 | Drift: 0.0755 | Teacher: Llama-3.2-11B
[HANDOFF] alf_v_69 | Token Index: 13 | Drift: 0.1132 | Teacher: Llama-3.2-11B
[HANDOFF] alf_v_69 | Token Index: 15 | Drift: 0.0836 | Teacher: Llama-3.2-11B
[HANDOFF] alf_v_69 | Token Index: 16 | Drift: 0.1085 | Teacher: Llama-3.2-11B
[HANDOFF] alf_v_69 | Token Index: 17 | Drift: 0.1082 | Teacher: Llama-3.2-11B
[HANDOFF] alf_v_57 | Token Index: 8 | Drift: 0.0906 | Teacher: Llama-3.2-11B
[HANDOFF] alf_v_57 | Token Index: 13 | Drift: 0.0960 | Teacher: Llama-3.2-11B
[HANDOFF] alf_v_57 | Token Index: 16 | Drift: 0.0961 | Teacher: Llama-3.2-11B
[HANDOFF] alf_v_57 | Token Index: 17 | Drift: 0.0974 | Teacher: Llama-3.2-11B
[HANDOFF] alf_v_135 | Token Index: 5 | Drift: 0.0771 | Teacher: Llama-3.2-11B
[HANDOFF] alf_v_135 | Token Index: 8 | Drift: 0.0965 | Teacher: Llama-3.2-11B
[HANDOFF] alf_v_135 | Token Index: 13 | Drift: 0.1017 | Teacher: Llama-3.2-11B
[HANDOFF] alf_v_135 | Token Index: 16 | Drift: 0.1011 | Teacher: Llama-3.2-11B
[HANDOFF] alf_v_135 | Token Index: 17 | Drift: 0.1024 | Teacher: Llama-3.2-11B
[HANDOFF] 204 | Token Index: 14 | Drift: 0.0780 | Teacher: Llama-3.2-11B
[HANDOFF] 204 | Token Index: 15 | Drift: 0.0868 | Teacher: Llama-3.2-11B
[HANDOFF] 2804 | Token Index: 2 | Drift: 0.0817 | Teacher: Llama-3.2-11B
[HANDOFF] alf_v_156 | Token Index: 12 | Drift: 0.0871 | Teacher: Llama-3.2-11B
